Assignee,Closed,Opened,Opener,Spendtime,Summary,Type
,2014/04/29 22:45:33,2014/04/16 15:48:11,scwf,25042,improve spark sql to support table with more than 22 fields,Improvement
,2014/04/17 14:07:52,2014/04/16 13:21:42,advancedxy,2770,Update TestUtils.createCompiledClass() API to work with creating class file on different filesystem,Bug
,2014/04/25 04:38:54,2014/04/16 08:29:47,jerryshao,72547,Add Spark Streaming metrics source for metrics system,Improvement
,2014/11/08 11:52:14,2014/04/16 05:00:15,witgo,24719,add zipWithIndex zipWithUniqueId methods to java api,Improvement
ConcreteVitamin,2014/06/10 07:52:20,2014/04/15 22:28:54,marmbrus,33806,Add support for reading from SparkConf,Improvement
WangTaoTheTonic,2015/01/16 17:17:41,2014/04/15 19:23:28,tgraves,78853,Spark on Yarn: Add support for user to specify # cores for ApplicationMaster,Improvement
mengxr,2014/05/07 00:01:59,2014/04/15 18:56:27,mengxr,18332,Documentation improvements for MLlib 1.0,Improvement
tdas,2014/05/05 22:29:55,2014/04/15 17:29:58,tdas,17997,[streaming] Add 0.9 to 1.0 migration guide for streaming receiver,Sub-task
tdas,2014/05/05 22:29:46,2014/04/15 17:29:31,tdas,18015,[streaming] Add deployment subsection to streaming,Sub-task
willbenton,2014/05/28 22:02:55,2014/04/15 14:34:56,willbenton,26879,Assertions in Graph.apply test are never executed,Test
,2014/05/10 03:52:29,2014/04/15 09:56:21,witgo,64568, add with-hive argument to make-distribution.sh,Improvement
,2015/03/05 09:58:43,2014/04/15 06:25:18,ilikerps,12805,Workers continuously produce failing executors,Bug
,2014/11/06 07:59:28,2014/04/15 05:10:20,kayousterhout,10148,Spark can hang if pyspark tasks fail,Bug
srowen,2014/04/16 16:37:10,2014/04/15 05:08:12,pwendell,41338,Spark YARN code isn't checked with Scalastyle and has many style violations,Improvement
pwendell,2014/04/29 00:36:54,2014/04/15 02:53:10,pwendell,78224,SparkContext.jarOfClass should return Option instead of a sequence,Improvement
adrian-wang,2014/06/09 18:36:48,2014/04/15 01:51:09,adrian-wang,60339,support leftsemijoin for sparkSQL,Improvement
marmbrus,2014/05/09 21:01:36,2014/04/15 00:00:38,ahirreddy,75658,Hive Dependencies being checked by MIMA,Bug
,2014/11/11 13:02:34,2014/04/14 22:42:28,pwendell,51606,Apache RAT excludes don't work with file path (instead of file name),Bug
sandyr,2014/05/03 04:43:38,2014/04/14 21:44:48,tgraves,25130,running-on-yarn doc should use spark-submit script for examples,Improvement
gq,2014/04/29 06:28:06,2014/04/14 17:51:10,tgraves,45416,maven hadoop-provided profile fails to build,Bug
tgraves,2014/04/24 21:21:18,2014/04/14 16:27:02,tgraves,17656,Add kerberos support to the HistoryServer,Improvement
tgraves,2014/04/25 01:39:07,2014/04/14 15:38:27,tgraves,36040,Fix the HistoryServer view acls,Bug
srowen,2014/04/15 02:56:24,2014/04/14 13:20:19,srowen,48965,Resolve scalac feature warnings during build,Improvement
schumach,2014/06/14 06:27:50,2014/04/14 13:20:18,schumach,61652,Support record filtering via predicate pushdown in Parquet,Improvement
mengxr,2014/07/10 01:23:56,2014/04/14 07:12:25,mengxr,65491,Implement AllReduce,Improvement
staple,2014/09/25 23:13:08,2014/04/13 20:46:32,matei,8796,MLlib should warn if you are using an iterative algorithm on non-cached data,Improvement
CodingCat,2014/04/18 17:26:56,2014/04/13 20:21:30,matei,75926,Rename minSplits to minPartitions in public APIs,Improvement
zsxwing,2014/04/19 00:52:04,2014/04/13 10:32:09,zsxwing,51595,Potential resource leaks in saveAsHadoopDataset and saveAsNewAPIHadoopDataset,Bug
mengxr,2014/05/07 00:01:40,2014/04/13 04:59:36,matei,68524,Add Naive Bayes to MLlib documentation,Sub-task
pwendell,2015/03/23 08:38:23,2014/04/13 03:50:24,pwendell,17279,Choose classloader consistently inside of Spark codebase,Improvement
,2014/10/16 08:51:40,2014/04/13 03:05:03,253499924@qq.com,20797,building spark on 2.0.0-cdh4.4.0 failed,Question
ted.m,2014/07/31 00:15:08,2014/04/12 12:57:34,ted.m,40654,Upgrade FlumeInputDStream's FlumeReceiver to support FLUME-1915,Improvement
gq,2014/09/18 17:34:35,2014/04/12 12:22:46,witgo,18709,Add the lifecycle interface,Improvement
kzhang,2014/09/22 17:27:00,2014/04/11 23:00:28,kzhang,66392,Drain event logging queue before stopping event logger,Bug
tgraves,2014/05/06 19:00:35,2014/04/11 22:19:30,xgong,74465,Spark on yarn assembly doesn't include org.apache.hadoop.yarn.server.webproxy.amfilter.AmIpFilter,Bug
,2014/06/18 12:20:09,2014/04/11 03:25:09,shenhong,32100,Worker not  recognize Driver state at standalone mode,Bug
gq,2014/08/02 20:53:52,2014/04/11 02:07:26,witgo,67586,Use the scala-logging wrapper instead of the directly sfl4j api,Improvement
techaddict,2014/04/16 16:59:24,2014/04/10 23:26:47,pwendell,63157,Scheduler mode should accept lower-case definitions and have nicer error messages,Bug
tyro89,2014/06/03 20:35:33,2014/04/10 22:57:28,tyro89,77885,The hash method used by partitionBy in Pyspark doesn't deal with None correctly.,Bug
techaddict,2014/04/27 02:05:02,2014/04/10 22:20:51,matei,13451,Make StorageLevel.apply() factory methods developer API's,Bug
kayousterhout,2014/06/18 20:23:22,2014/04/10 21:17:13,kayousterhout,83169,Pyspark doesn't check if gateway process launches correctly,Bug
,2014/04/16 19:46:53,2014/04/10 21:10:57,xgong,81356,Spark compilation is broken with the latest hadoop-2.4.0 release,Bug
mengxr,2014/04/17 22:27:13,2014/04/10 20:10:58,pwendell,8175,Update MLLib Examples to Use Breeze,Task
,2014/11/11 14:15:57,2014/04/10 17:23:16,jennyma,75161,cleanup unnecessary dependency jars in the spark assembly jars,Improvement
techaddict,2014/04/17 22:27:13,2014/04/10 11:55:41,CodingCat,37892,Examples of ML algorithms are using deprecated APIs,Improvement
chenghao,2014/06/03 05:59:25,2014/04/10 06:43:21,chenghao,83764,Support Short-circuit Expression Evaluation,Improvement
kzhang,2014/05/07 17:37:11,2014/04/09 23:30:51,marmbrus,65180,Set operations on SchemaRDDs are needlessly destructive of schema information.,Improvement
vanzin,2014/04/22 06:12:17,2014/04/09 23:03:51,vanzin,25706,"EventLoggingListener does not work with ""file://"" target dir",Bug
joshrosen,2014/07/26 07:54:44,2014/04/09 22:22:08,nchammas,34356,Expose sc.version in PySpark,New Feature
marmbrus,2014/04/21 17:52:15,2014/04/09 19:56:20,pwendell,78955,Clean up use of Ordered/Ordering in OrderedRDDFunctions,Improvement
,2014/09/18 23:49:57,2014/04/09 19:13:27,pwendell,16590,Determine which test suites to run based on code changes,Improvement
tgraves,2014/07/14 20:32:34,2014/04/09 15:17:09,tgraves,18925,Improve the way Spark on Yarn waits for executors before starting,Improvement
,2015/02/07 17:26:37,2014/04/09 09:17:47,flukebox,29330,dynamic partition creation not working on cached table,Bug
,2014/07/16 01:45:34,2014/04/09 05:03:28,dbtsai,74526,Multinomial Logistic Regression Support,New Feature
srowen,2014/11/28 22:44:10,2014/04/09 00:24:41,tdas,80369,Specify the default zone in the EC2 script help,Improvement
pwendell,2014/09/16 17:31:35,2014/04/09 00:10:11,sebb@apache.org,62484,Please delete old releases from mirroring system,Task
,2014/06/12 12:14:06,2014/04/09 00:08:42,sebb@apache.org,43524,KEYS file to be added to dist directory,Task
,2014/04/22 04:51:54,2014/04/08 21:35:18,matei,26196,Update Java programming guide to explain Java 8 syntax,Sub-task
techaddict,2014/04/10 07:37:55,2014/04/08 21:18:15,tgraves,37180,Spark examples should not do a System.exit,Bug
ilikerps,2014/04/08 21:40:35,2014/04/08 18:23:30,ilikerps,11825,compute-classpath.sh should not print error if lib_managed not found,Bug
,2015/03/08 16:34:07,2014/04/08 18:11:27,matei,80560,Update branch-0.9's SBT to 0.13.1 so that it works with Java 8,Bug
,2014/09/21 14:00:27,2014/04/08 13:00:26,PavanKumarVarma,3601,Unable to Access MongoDB GridFS data with Spark using mongo-hadoop API,Improvement
gq,2014/04/29 06:18:39,2014/04/08 04:01:40,witgo,8219,Compile Spark Core error with Hadoop 0.23.x when not using YARN,Bug
matei,2014/04/22 05:03:00,2014/04/08 00:10:03,matei,17577,Generate JavaDoc instead of ScalaDoc for Java API,Sub-task
matei,2014/04/22 05:02:48,2014/04/08 00:09:11,matei,17617,Aggregate Scaladocs across projects,Sub-task
smartnut007,2014/04/25 00:29:26,2014/04/07 22:04:32,matei,8694,Update RDD.sample() API to make seed parameter optional,Improvement
pwendell,2014/05/15 13:07:38,2014/04/07 22:01:44,srowen,54354,Jenkins should build with Java 6,Bug
lian cheng,2014/05/15 03:30:01,2014/04/07 19:11:03,rxin,29938,Compression code broke in-memory store,Bug
pwendell,2014/04/13 03:51:38,2014/04/07 17:51:52,pwendell,35986,Don't assume context class loader is set when creating classes via reflection,Improvement
mengxr,2014/04/09 03:39:09,2014/04/07 16:59:20,mengxr,38389,Make labelParser Java friendly.,Improvement
techaddict,2014/05/12 18:12:45,2014/04/07 16:46:05,techaddict,5200,Upgrade Mesos dependency to 0.17.0,Task
dgshep,2014/04/07 17:07:16,2014/04/07 16:01:07,dgshep,3969,Potential memory leak in stageIdToExecutorSummaries in JobProgressTracker,Bug
pwendell,2014/04/07 04:05:16,2014/04/07 02:54:36,pwendell,4240,Allow merging pull requests that have conflicts,New Feature
matei,2014/04/16 03:35:36,2014/04/06 23:25:37,matei,14999,Support sparse data in Python MLlib,Improvement
lian cheng,2014/04/06 17:07:21,2014/04/06 08:44:46,lian cheng,30155,"Spark shell fails to start after ""sbt clean assemble-deps package""",Bug
techaddict,2014/04/10 18:18:59,2014/04/06 06:01:10,matei,44269,MLlib should convert non-float64 NumPy arrays to float64 instead of complaining,Improvement
marmbrus,2014/04/07 20:55:15,2014/04/06 05:49:00,pwendell,54375,HQL Examples Don't Work,Bug
techaddict,2014/04/15 07:22:08,2014/04/06 01:22:00,matei,21608,Make MLlib work with NumPy versions older than 1.7,Improvement
marmbrus,2014/04/16 06:05:37,2014/04/05 23:48:01,marmbrus,22656,InsertInto should work on JavaSchemaRDD as well.,Improvement
,2015/01/12 03:46:37,2014/04/05 23:06:26,matei,16811,Add scripts for launching Spark on Google Compute Engine,Improvement
matei,2014/04/06 03:53:47,2014/04/05 22:46:15,matei,18452,Make MLlib work on Python 2.6,Bug
,2014/05/25 20:20:26,2014/04/05 15:24:07,witgo,17779,The maven build error for Spark Catalyst,Bug
markhamstra,2014/04/05 02:20:37,2014/04/05 00:03:43,markhamstra,8214,Apache parent POM to version 14,Dependency upgrade
,2015/02/20 23:58:07,2014/04/04 22:32:14,matei,5153,Python MLlib's _get_unmangled_rdd should uncache RDDs when training is done,Improvement
tgraves,2014/04/11 15:28:52,2014/04/04 20:02:56,tgraves,69956,Spark on Yarn - spark UI link from resourcemanager is broken,Bug
mlnick,2014/06/10 17:16:50,2014/04/04 19:31:50,matei,78300,Add support for SequenceFiles and binary Hadoop InputFormats in PySpark,Improvement
yinxusen,2014/04/13 20:19:39,2014/04/04 18:47:59,matei,5500,Add a minSplits parameter to wholeTextFiles,Bug
matei,2014/04/05 00:30:16,2014/04/04 18:46:02,matei,20654,Python API for SparkContext.wholeTextFiles,Bug
,2014/04/10 17:37:33,2014/04/04 03:23:43,matei,51230,Parquet messes up stdout and stdin when used in Spark REPL,Bug
,2014/04/04 05:55:15,2014/04/04 00:39:09,dgshep,18966,"When using spark.ui.retainedStages=n only the first n stages are kept, not the most recent.",Bug
mengxr,2014/10/01 15:23:33,2014/04/03 20:20:06,mengxr,68607,Class not found exception with application launched from sbt 0.13.x,Improvement
tdas,2014/10/13 18:26:46,2014/04/03 19:04:32,marmbrus,84134,"Flaky Test: ""actor input stream"" test in org.apache.spark.streaming.InputStreamsSuite",Bug
tgraves,2014/04/17 21:37:49,2014/04/03 14:33:47,tgraves,25442,Modify Spark on Yarn to point to the history server when app finishes,Improvement
tgraves,2015/01/23 18:32:01,2014/04/03 14:06:59,tgraves,15902,EventLogging to HDFS doesn't work properly on yarn,Bug
josephkb,2015/02/03 20:29:47,2014/04/03 06:21:25,yinxusen,50902,parallel Latent Dirichlet Allocation (LDA) atop of spark in MLlib,New Feature
ilikerps,2014/04/04 16:50:52,2014/04/03 03:10:05,ilikerps,49247,Non-exported spark-env.sh variables are no longer present in spark-shell,Bug
,2015/03/23 08:43:32,2014/04/03 02:54:25,manku.timma,20947,Spark on Mesos does not set Thread's context class loader,Bug
lian cheng,2014/04/08 21:25:12,2014/04/03 02:26:29,lian cheng,68323,3 more compression algorithms for in-memory columnar storage,Improvement
,2014/04/03 02:10:41,2014/04/03 01:04:08,dbtsai,3993,Use mapParitions instead of map to avoid creating expensive object in GradientDescent optimizer,Improvement
,2014/04/25 20:36:33,2014/04/03 00:55:16,tdas,70877,Spark Streaming's received data is not cleaned up from BlockManagers when not needed any more,Bug
CodingCat,2014/04/21 21:28:42,2014/04/03 00:15:08,kayousterhout,76414,Reason for Stage Failure should be shown in UI,Bug
markhamstra,2014/10/13 17:32:52,2014/04/02 22:23:50,markhamstra,68942,Remove FindBugs jsr305 dependency,Improvement
kayousterhout,2014/04/08 23:08:12,2014/04/02 21:27:51,kayousterhout,6021,SparkListeners should be notified when stages are cancelled,Bug
kayousterhout,2014/04/08 08:29:09,2014/04/02 21:16:29,kayousterhout,40360,DAGScheduler has a memory leak for cancelled jobs,Bug
vanzin,2014/06/23 14:14:41,2014/04/02 20:23:57,vanzin,64244,"Cannot launch jobs on Yarn cluster with ""local:"" scheme in SPARK_JAR",Bug
,2014/07/25 21:36:09,2014/04/02 18:29:07,idanzalz,11222,calling system.platform on worker raises IOError,Bug
,2014/04/05 23:43:41,2014/04/02 10:16:22,mridulm80,48439,fix computePreferredLocations signature to not depend on underlying implementation,Improvement
,2014/06/27 20:44:40,2014/04/02 05:49:02,cheffpj,53738,Local spark-shell Runs Out of Memory With Default Settings,Bug
mengxr,2014/04/09 06:02:58,2014/04/02 05:30:34,mengxr,1944,Refactor RDD backed matrices,Improvement
marmbrus,2014/09/16 16:11:39,2014/04/02 05:22:28,marmbrus,38951,Make numPartitions in Exchange configurable,Improvement
,2014/06/06 19:56:31,2014/04/02 01:15:41,nravi,67250,ConcurrentModificationException in hadoop_common exposed by Spark,Bug
srowen,2014/04/07 00:42:14,2014/04/01 21:28:50,srowen,11604,"Update build plugins,  avoid plugin version warning, centralize versions",Improvement
tdas,2014/04/13 03:55:35,2014/04/01 20:46:47,tdas,25728,Spark Streaming UI,New Feature
,2014/12/10 15:56:11,2014/04/01 20:33:51,andrewor,69740,Use existing code-path for JSON de/serialization of BlockId,Improvement
tgraves,2014/06/10 06:08:05,2014/04/01 17:23:24,tgraves,45881,spark-shell on yarn on spark 0.9 branch doesn't always work with secure hdfs,Bug
schumach,2014/04/04 17:13:52,2014/04/01 14:44:13,schumach,8979,Spark-SQL: ParquetRelation improvements,Improvement
zsxwing,2014/04/27 14:07:32,2014/04/01 14:12:28,aecc,86104,NullPointerException when calling DStream.slice() before StreamingContext.start(),Bug
,2014/09/29 08:00:27,2014/04/01 13:16:34,abhietc31,67433,Spark to Shark direct streaming,Question
,2014/12/10 15:57:25,2014/04/01 08:33:00,ueshin,26665,Add sort-merge based cogroup/joins.,Improvement
marmbrus,2014/10/03 19:35:56,2014/04/01 02:30:40,marmbrus,61516,Calling .cache() on a SchemaRDD should do something more efficient than caching the individual row objects.,Improvement
,2014/07/04 01:35:15,2014/03/31 22:29:19,kenahoo,11156,Build error: org.eclipse.paho:mqtt-client,Bug
,2014/11/05 10:43:31,2014/03/31 22:26:50,andrewor,44201,Upgrade Jetty to 8.1.14v20131031,Improvement
sandyr,2014/04/23 02:39:20,2014/03/31 20:18:18,sandyr,22862,"In the yarn-cluster submitter, rename ""args"" option to ""arg""",Bug
sandyr,2014/04/04 20:29:13,2014/03/31 20:07:47,sandyr,1286,spark-submit script additional cleanup,Bug
ahirreddy,2014/04/15 07:08:31,2014/03/31 18:42:34,marmbrus,44757,Python API for running SQL queries,Improvement
lian cheng,2014/04/30 00:15:04,2014/03/31 18:40:46,marmbrus,20058,Compression for In-Memory Columnar storage,Improvement
marmbrus,2014/04/02 05:44:00,2014/03/31 18:36:42,marmbrus,40038,Expose in-memory columnar caching for tables.,Improvement
marmbrus,2014/04/07 07:32:05,2014/03/31 18:17:19,marmbrus,47686,HashAggregate should stream tuples and avoid doing an extra count,Bug
marmbrus,2014/03/31 22:27:56,2014/03/31 18:16:39,marmbrus,15077,HashJoin should stream one relation,Bug
lian cheng,2014/05/29 22:27:13,2014/03/31 17:53:52,marmbrus,16401,HiveTableScan is slow,Bug
schumach,2014/04/03 22:33:26,2014/03/31 17:51:57,marmbrus,16889,NPE when joining Parquet Relations,Bug
marmbrus,2014/04/05 20:09:42,2014/03/31 17:47:42,marmbrus,8520,The sql function should be consistent between different types of SQLContext,Bug
pwendell,2014/03/31 23:26:54,2014/03/31 17:40:52,pwendell,20762,Fix RateLimitedOutputStream Test,Bug
marmbrus,2014/04/03 01:15:18,2014/03/31 16:06:16,marmbrus,32942,DataTypes missing from ScalaReflection,Bug
joshrosen,2014/12/13 22:36:11,2014/03/31 09:38:27,scwf,46664,Web UI should provide page of showing statistics and stage list for a given job,Improvement
,2014/05/04 04:17:17,2014/03/31 09:10:48,scwf,68789,DAGScheduler throws NullPointerException occasionally,Bug
chenghao,2014/04/03 22:33:41,2014/03/31 08:32:54,chenghao,50447,Add Timestamp Support,New Feature
mengxr,2014/04/09 20:43:54,2014/03/31 00:27:36,pwendell,72978,[MLLIB] Annotate developer and experimental API's,Sub-task
tdas,2014/04/26 01:53:57,2014/03/31 00:26:43,pwendell,5234,[STREAMING] Annotate developer and experimental API's,Sub-task
,2014/04/11 22:44:11,2014/03/30 18:40:16,joes,14635,Switch website to the Apache CMS,Improvement
,2014/03/30 17:05:35,2014/03/30 06:58:22,jerryshao,36433,Fail to resolve attribute when query with table name as a qualifer in SQLContext,Bug
,2014/09/18 08:03:17,2014/03/30 06:30:56,jblomo,5541,IllegalArgumentException when writing to disk,Bug
pwendell,2014/03/31 19:07:52,2014/03/30 04:58:21,pwendell,50971,Improve robustness of spark-submit script,Improvement
matei,2015/03/02 16:12:43,2014/03/29 21:32:06,pwendell,67237,Documentation Improvements for Spark 1.0,Improvement
sandyr,2015/01/09 04:19:18,2014/03/28 16:22:57,,42981,YARN ContainerLaunchContext should use cluster's JAVA_HOME,Bug
ilikerps,2014/04/07 00:44:08,2014/03/28 15:05:44,,34704,spark-shell's repl history is shared with the scala repl,Improvement
kzhang,2014/04/08 21:33:01,2014/03/28 14:05:48,,26833,Spark UI's do not bind to localhost interface anymore,Bug
,2014/04/01 21:43:02,2014/03/28 11:18:08,,37494,SHARK error when running in server mode: java.net.BindException: Address already in use,Bug
srowen,2015/03/14 08:51:31,2014/03/28 10:25:22,,80769,Backport SPARK-1210 into 0.9 branch,Bug
tgraves,2014/03/31 14:30:37,2014/03/28 07:51:43,,23934,spark on yarn 0.23 using maven doesn't build,Bug
srowen,2014/11/10 01:42:40,2014/03/28 07:36:58,,65142,Scala API docs for top methods,Bug
davies,2014/07/28 22:22:49,2014/03/27 22:49:27,,84802,PySpark OOMs without caching,Bug
markhamstra,2014/05/17 17:20:41,2014/03/27 16:48:04,,1957,Bump Scala version to 2.10.4,Improvement
,2014/07/10 23:05:39,2014/03/27 15:31:00,,27279,Ability to control the data rate in Spark Streaming ,New Feature
tdas,2014/05/15 20:25:44,2014/03/27 15:24:36,,18068,Some Spark Streaming receivers are not restarted when worker fails,Bug
,2014/10/13 17:33:19,2014/03/27 14:52:12,,9667,Build error: org.eclipse.paho:mqtt-client,Bug
prashant_,2014/12/16 10:41:09,2014/03/27 11:20:31,,84038,Create Additional Style Rules,Improvement
pwendell,2014/04/04 05:35:32,2014/03/27 11:12:06,,66206,Application web UI garbage collects newest stages instead old ones,Bug
pwendell,2014/03/30 06:38:20,2014/03/27 10:22:31,,72949,Reduce Verbosity of QA Scripts,Improvement
srowen,2015/01/15 09:08:41,2014/03/27 03:09:39,,21542,Also increase perm gen / code cache for scalatest when invoked via Maven build,Bug
,2014/03/27 09:56:10,2014/03/26 21:17:28,,45522,RDD names should be settable from PySpark,New Feature
marmbrus,2014/04/03 22:47:04,2014/03/26 20:14:34,,9150,Java API for running SQL queries,New Feature
tdas,2014/04/22 05:02:27,2014/03/26 17:20:44,,42103,Improve Spark Streaming's Network Receiver and InputDStream API for future stability,Improvement
tdas,2014/04/08 07:00:59,2014/03/26 17:10:54,,49805,Graceful shutdown of Spark Streaming computation,Improvement
tgraves,2014/03/27 09:56:40,2014/03/26 13:29:43,,73617,compute_classpath.sh has extra echo which prevents spark-class from working,Bug
ankurd,2015/02/15 11:53:54,2014/03/26 10:25:47,,5287,ArrayIndexOutOfBoundsException if graphx.Graph has more edge partitions than node partitions,Bug
yinxusen,2014/04/12 02:45:03,2014/03/26 03:28:42,,83781,"Current implementation of Standard Deviation in MLUtils may cause catastrophic cancellation, and loss precision.",Improvement
mengxr,2014/03/31 00:41:52,2014/03/25 23:10:49,,5463,GLM needs to check addIntercept for intercept and weights,Bug
,2014/05/08 09:16:19,2014/03/25 22:35:26,,38453,make-distribution.sh's Tachyon support relies on GNU sed,Bug
,2014/03/26 11:33:26,2014/03/25 20:58:09,,52517,The maven build error for Spark Tools,Bug
patrick,2014/03/30 04:14:13,2014/03/25 16:37:15,,41818,Spark UI Should Not Try to Bind to SPARK_PUBLIC_DNS,Bug
,2014/03/30 05:43:31,2014/03/25 15:18:48,,51883,Job hangs with java.io.UTFDataFormatException when reading strings > 65536 bytes. ,Bug
prashant,2014/03/30 04:13:59,2014/03/25 15:00:50,,47589,Fix ordering of top() in Python,Bug
rxin,2014/03/30 05:07:05,2014/03/25 14:51:58,,51307,Use Guava's top k implementation rather than our custom priority queue,Improvement
,2014/03/25 13:31:24,2014/03/25 13:17:57,,807,cogroup and groupby should pass an iterator,Improvement
shivaram,2014/03/25 13:06:40,2014/03/25 12:33:33,,1987,The current code effectively ignores spark.task.cpus,Bug
,2014/07/09 20:48:17,2014/03/25 10:43:36,,36281,Alignment of the Spark Shell with Spark Submit.,Improvement
,2014/11/11 14:15:31,2014/03/25 09:08:03,,18448,sbt doesn't work for building Spark programs,Bug
srowen,2015/01/15 09:08:38,2014/03/25 08:11:42,,3416,Remove use of Commons IO,Improvement
srowen,2015/01/15 09:08:40,2014/03/25 07:10:02,,7118,spark on yarn-alpha with mvn on master branch won't build,Bug
ilikerps,2014/04/07 00:50:38,2014/03/25 01:19:42,,84656,sbt assembly builds hive jar,Bug
,2014/09/29 12:51:49,2014/03/24 23:44:36,,47233,Shark- JDBC driver ,Question
ankurd,2014/07/19 22:58:34,2014/03/24 17:14:41,,20633,Use map side distinct in collect vertex ids from edges graphx,Bug
holdenkarau,2014/08/18 05:54:45,2014/03/24 17:13:12,,45693,Add support for  cross validation to MLLibb,Bug
ilikerps,2014/04/07 00:50:51,2014/03/24 16:49:13,,28898,sbt assemble-deps no longer works,New Feature
shashmi,2014/06/09 07:10:28,2014/03/24 14:02:34,,61674,Add getNumPartitions() method to PySpark RDDs,New Feature
srowen,2014/10/15 04:39:50,2014/03/24 12:13:21,,59189,don't use term 'standalone' to refer to a Spark Application,Bug
,2014/10/13 17:56:52,2014/03/24 11:55:16,,21696,no instructions provided for sbt assembly with Hadoop 2.2,Bug
haoyuan,2014/07/18 16:00:52,2014/03/24 10:45:13,,18939,Support persisting RDD's directly to Tachyon,New Feature
shivaram,2015/02/11 22:07:46,2014/03/23 23:56:44,,79862,httpd doesn't start in spark-ec2 (cc2.8xlarge),Bug
mengxr,2014/04/09 09:24:48,2014/03/23 13:10:11,,72877,Clean-up and clarify private vs public fields in MLLib,Improvement
CodingCat,2014/04/26 01:07:46,2014/03/23 12:21:43,,45963,making comments of RDD.doCheckpoint consistent with its usage,Improvement
CodingCat,2014/04/26 01:08:11,2014/03/23 11:36:53,,48678,Remove duplicate partition id checking,Improvement
tedyu@apache.org,2014/11/11 13:16:59,2014/03/22 10:59:55,,8224,Upgrade HBase dependency to 0.98.0,Task
marmbrus,2014/11/13 06:38:14,2014/03/21 18:37:23,,43251,Make RDDs Covariant,Improvement
,2014/03/21 18:07:44,2014/03/21 17:27:39,,2405,Progress values on Spark UI progress bar wander off-screen,Bug
marmbrus,2014/03/24 19:27:04,2014/03/21 16:55:50,,9074,Case insensitive resolution in HiveContext breaks the ability to access fields with upper case letters,Bug
schumach,2014/06/20 06:48:17,2014/03/21 13:18:46,,62971,Support for reading/writing complex types in Parquet,Improvement
liancheng,2014/03/23 12:10:22,2014/03/21 13:17:10,,82392,In-Memory Columnar Representation for Catalyst,Improvement
gq,2014/07/15 18:53:32,2014/03/21 09:12:59,,34833,Link the spark UI to RM ui in yarn-client mode,Improvement
kayousterhout,2014/03/20 14:24:24,2014/03/20 13:59:55,,1469,PythonAccumulatorParam throws uncaught exception,Bug
,2015/03/07 16:35:31,2014/03/20 10:31:36,,21835,improve yarn stable error logging when passing bad arguments,Bug
tgraves,2014/04/17 21:39:22,2014/03/20 09:44:46,,42876,yarn stable finishApplicationMaster incomplete,Bug
,2014/08/22 21:50:10,2014/03/20 08:51:52,,46698,yarn alpha and stable Client calculateAMMemory routines are different,Bug
ilikerps,2014/03/28 14:38:20,2014/03/19 18:28:03,,72617,Make usage of spark-env.sh idempotent,Bug
tdas,2014/03/20 12:40:23,2014/03/19 17:59:20,,67263,Back porting streaming doc updates to 0.9,Improvement
davies,2014/10/02 21:23:03,2014/03/19 16:16:01,,18422,pyspark hangs after IOError on Executor,Bug
,2015/01/27 17:58:24,2014/03/19 16:10:43,,6461,Create spark-contrib repo for 1.0,Task
,2014/03/21 14:55:42,2014/03/19 16:08:31,,82031,Create spark-contrib repo for 1.0,Task
tmyklebu,2014/04/23 02:23:42,2014/03/19 10:15:31,,58091,Partitioning in ALS,Improvement
ilikerps,2014/09/27 18:53:40,2014/03/19 07:35:48,,40672,"Stage.name return ""apply at Option.scala:120""",Bug
,2014/09/27 18:52:54,2014/03/19 07:34:33,,40701,"Stage.name return  ""apply at Option.scala:120""",Bug
zsxwing,2014/03/21 16:41:08,2014/03/19 06:44:48,,35780,Improper use of SimpleDateFormat,Bug
andrewor14,2014/04/16 16:22:20,2014/03/18 23:36:37,,60343,Automatically set the UI persistence directory based on cluster settings,New Feature
andrewor14,2014/04/10 17:40:43,2014/03/18 23:33:35,,65228,Add a Simple History Server for the UI for Yarn / Mesos,New Feature
tdas,2014/03/19 16:42:05,2014/03/18 22:45:46,,64579,Made SPARK_HOME/dev/tests executable,Bug
tdas,2014/03/18 22:19:34,2014/03/18 20:41:31,,5883,Add dev scripts to merge PRs and create releases from master to branch-0.9,Improvement
mengxr,2014/03/21 15:00:15,2014/03/18 19:17:47,,70948,MLlib v0.9.1 release,Task
holdenkarau,2014/04/09 01:18:25,2014/03/18 17:37:19,,27666,Use Iterable[X] in co-group and group-by signatures,Improvement
,2014/03/30 04:15:23,2014/03/18 14:49:41,,48342,Add Ability to Make Distribution with Tachyon,New Feature
,2014/04/30 00:41:51,2014/03/18 08:18:53,,58978,Adding XOR and AND-NOT operations to spark.util.collection.BitSet,Improvement
,2014/11/08 11:37:56,2014/03/18 02:46:06,,31910,Add a pip installer for PySpark,Improvement
mengxr,2014/03/18 17:21:55,2014/03/17 21:40:44,,70871,Persist factors in implicit ALS,Improvement
andrewor14,2014/03/19 10:57:45,2014/03/17 19:50:10,,54455,Fix 404 not found error in UI introduced in Jetty 9.0 upgrade,Bug
mengxr,2014/03/17 23:57:31,2014/03/17 17:05:29,,24722,Implicit ALS unnecessarily recomputes factor matrices,Improvement
,2015/01/21 06:58:28,2014/03/17 16:34:01,,51867,Numerical drift in computation of matrix inverse leads to invalid results in ALS,Bug
